,,,,
Inf,Rec,División,Juega en,Nombre
,- - -,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Primera División Federación A española,ESP,- -
,- - -,Primera División española,ESP,- -
,- - -,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Primera División Federación B española,ESP,- -
,- - -,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Primera División Federación B española,ESP,- -
,- - -,Segunda División española,ESP,- -
,- - -,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Segunda División española,ESP,- -
,- - -,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Primera División española,ESP,- -
Juv,- - -,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
,- - -,Primera División española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División Federación Grupo 4 española,ESP,- -
Ced,- - -,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Primera División Federación B española,ESP,- -
,- - -,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Segunda División española,ESP,- -
Seg,- - -,Segunda División española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
Les,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Primera División Federación A española,ESP,- -
,- - -,Primera División Federación B española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
Int,- - -,Segunda División española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División Federación Grupo 1 española,ESP,- -
Ret,- - -,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División española,ESP,- -
Les,- - -,Primera División Federación B española,ESP,- -
,- - -,Segunda División española,ESP,- -
Les,- - -,Primera División Federación B española,ESP,- -
,- - -,Segunda División Federación Grupo 4 española,ESP,- -
Les,- - -,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Segunda División española,ESP,- -
Seg,- - -,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Primera División española,ESP,- -
Juv,- - -,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Primera División Federación B española,ESP,- -
Juv,- - -,Segunda División Federación Grupo 3 española,ESP,- -
,,,,
,,,,
https://www.sigames.com/,,,,
