Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,Ent I,Ent C,Ent Cl,FC,FR,Ama,Roj.,Rob,Desp,Pos Gan/90,Pos Perd/90,Disparos,Disparos fuera área/90,TaP,Gol,Goles fuera del área,xG,Cab Int,Cab,DsR,Rec.1,Cen.In,Cen.Com,Cen I-Ab,Cen C-Ab
player_504,DL (C),36 (1),2.740,665,565,28,20,1,"1,43",3,29,219,53,"345,3 km","6,04",50,42,3,39,71,1,0,31,13,"2,04","19,91",97,"1,25",53,13,2,"10,32",290,80,0,4,18,3,18,3
player_505,"DF (IC), CR (I)",40,3.600,1.961,1.701,239,50,3,"6,36",4,50,343,90,"504,3 km","14,18",129,110,11,34,42,1,0,94,59,"14,43","9,75",18,"0,12",2,0,0,"1,94",231,134,24,33,100,18,100,18
player_506,"DF/CR (I), ME (IC), MP (I)",4 (7),476,225,195,24,4,0,"0,92",0,6,50,16,"65,5 km","14,56",24,17,0,2,8,0,0,17,6,"7,94","15,5",0,0,-,0,0,0,18,10,0,5,23,4,19,4
player_507,"DF (DC), CR (D)",24 (2),2.231,1.321,1.157,104,7,0,"0,65",2,15,159,37,"318,3 km","13,19",48,39,6,28,10,4,0,59,33,"11,26","11,01",9,0,3,0,0,"1,19",155,97,26,14,34,3,34,3
player_508,"MP (DI), DL (C)",0 (20),546,187,152,10,6,0,0,0,13,83,17,"79,2 km","15,66",16,15,0,12,4,0,0,2,2,"1,81","22,09",15,"1,15",6,1,1,"0,81",37,14,0,1,21,7,21,7
player_509,"ME (I), MP (DIC), DL (C)",23 (10),1.858,556,455,42,21,1,"1,59",1,51,225,50,"239,2 km","11,09",45,39,1,29,28,2,0,32,14,"3,39","16,18",26,"0,39",17,2,2,"2,94",142,38,0,6,57,10,43,6
player_510,DF (C),0 (1),77,54,46,3,1,0,0,0,0,0,0,"9,6 km","7,01",0,-,0,0,1,0,0,3,2,"12,86","5,84",0,0,-,0,0,0,8,4,0,1,0,0,0,0
player_511,"MC, ME/MP (C)",0 (9),239,74,67,8,8,0,"0,29",1,3,27,5,"32,5 km","14,69",5,3,0,2,1,1,0,2,0,"18,08","10,92",11,"2,26",5,0,0,"0,67",19,6,0,1,3,0,3,0
player_512,DF (DC),5 (10),741,415,374,32,2,0,"0,83",0,3,32,8,"89,4 km","7,29",12,10,0,5,2,1,0,15,5,"9,35","7,89",4,0,0,0,0,"0,68",55,22,8,2,8,0,8,0
player_513,DF/CR (D),41 (2),3.613,2.274,2.038,239,20,0,"1,23",3,75,359,89,"511,8 km","15,52",119,94,3,30,40,1,0,114,44,"12,7","14,22",35,"0,27",10,3,0,"4,58",138,84,30,29,65,5,65,5
player_514,"DF/CR (I), ME/MP (D)",37,3.233,1.677,1.441,224,49,1,"5,25",6,59,283,111,"443,5 km","13,72",140,116,6,21,42,3,0,80,52,"8,96","15,92",4,"0,03",2,0,0,"0,69",185,114,8,33,98,12,98,12
player_515,"MC, ME (C)",1 (24),531,308,276,31,8,0,"0,6",1,1,57,9,"75,5 km","11,02",9,7,0,2,2,0,0,7,4,"7,8","7,12",3,0,0,0,0,"0,23",26,17,0,1,2,0,2,0
player_516,ME/MP (DI),5 (16),599,214,180,14,4,0,"1,58",1,19,71,27,"77,4 km","13,82",24,22,0,7,6,0,0,12,4,"2,4","19,83",22,"1,5",7,4,0,"2,27",40,13,0,2,24,4,24,4
player_517,DF/CR (D),44,3.706,1.989,1.725,254,41,11,"5,18",11,38,364,94,"507,1 km","15,37",127,101,5,44,38,2,0,84,42,"15,42","11,27",60,"0,46",14,6,1,"7,98",152,68,28,26,71,12,71,12
player_518,POR,9,840,229,168,0,0,0,0,0,0,0,0,"58,3 km",0,1,0,0,1,2,1,0,0,-,"3,11","6,64",0,-,-,0,-,0,-,-,-,-,-,-,-,-
player_519,"DF (IC), MC",32,2.483,1.488,1.341,127,11,1,"2,08",3,4,123,44,"324,7 km","7,58",68,50,10,12,15,0,1,54,33,"18,56","4,13",12,"0,04",2,1,0,"2,96",180,131,17,14,18,4,18,4
player_520,DF (C),3 (5),495,314,290,15,0,0,0,0,1,17,5,"63,2 km","5,82",7,6,1,3,0,1,0,13,9,"11,64","5,45",2,0,0,0,0,"0,3",44,32,1,5,1,0,1,0
player_521,"ME/MP (DI), DL (C)",9 (18),958,334,284,21,13,3,"1,65",2,22,129,30,"130,7 km","14,28",29,25,0,11,11,2,0,13,10,"3,1","22,73",17,"0,47",6,2,0,"2,56",65,15,0,5,34,9,34,9
player_522,ME/MP (DI),41,3.613,1.224,1.028,109,82,4,"5,52",5,115,493,138,"489,0 km","12,7",127,96,1,38,79,0,0,66,25,"4,56",21,39,"0,25",13,4,0,"6,77",173,28,0,10,184,36,135,26
player_523,ME/MP (C),5 (6),517,242,213,19,6,0,"0,21",1,11,60,14,"72,6 km","12,19",12,8,0,2,4,0,0,11,5,"12,36","14,62",6,"0,35",1,0,1,"0,65",20,4,0,3,4,0,4,0
player_524,DF/CR/ME (D),27 (4),2.261,1.110,938,102,20,2,1,2,41,224,67,"312,9 km","13,73",79,63,7,38,28,10,1,72,27,"8,68","20,1",18,"0,08",4,0,0,"3,35",92,55,17,14,61,17,61,17
